API_WELL_NUMBER,WELL_TYPE_CODE,WELL_NAME,COMPANY_NAME,BOREHOLE_STAT_DT,BH_TOTAL_MD
1.77104E+11,D, A005,"Energy XXI GOM, LLC",2/14/79,10275
1.77104E+11,D, A002,"Energy XXI GOM, LLC",12/28/78,6775
1.77104E+11,E,4,"Energy XXI GOM, LLC",4/9/76,10615
1.77104E+11,E,2,"Energy XXI GOM, LLC",10/25/75,7300
1.77094E+11,D, H001,"Energy XXI GOM, LLC",1/23/93,13335
1.7709E+11,D, B018,"Energy XXI GOM, LLC",10/2/96,13070
1.7709E+11,D, B008,"Energy XXI GOM, LLC",2/1/67,12900
1.7709E+11,D, B005,"Energy XXI GOM, LLC",7/15/93,12950
1.7709E+11,D, B003,"Energy XXI GOM, LLC",9/26/66,13365
1.7709E+11,D, A010,"Energy XXI GOM, LLC",2/21/66,13216
1.77094E+11,D, D010,"Energy XXI GOM, LLC",5/16/94,9220
1.77094E+11,D, D010,"Energy XXI GOM, LLC",4/19/94,11560
1.77094E+11,D, D002,"Energy XXI GOM, LLC",4/21/13,8429
1.77094E+11,D, C014,"Energy XXI GOM, LLC",10/28/92,11825
1.77094E+11,D, C012,"Energy XXI GOM, LLC",7/26/95,8430
1.77094E+11,D, A006,"Energy XXI GOM, LLC",7/22/09,13009
1.77094E+11,E,4,"Energy XXI GOM, LLC",10/23/71,10500
1.77094E+11,D, A006,"Energy XXI GOM, LLC",7/8/72,10086
1.7709E+11,D, A005,"Energy XXI GOM, LLC",5/10/14,11703
1.7709E+11,D,11,"Energy XXI GOM, LLC",9/14/99,10005
1.77044E+11,D, B011,"Energy XXI GOM, LLC",4/16/91,8025
1.77044E+11,D, A008,"Energy XXI GOM, LLC",3/20/13,10114
1.77044E+11,D, A007,"Energy XXI GOM, LLC",4/16/13,13614
1.77044E+11,D, B001,"Energy XXI GOM, LLC",9/24/09,10424
1.77154E+11,D, E004,"Energy XXI GOM, LLC",11/23/09,13592
1.7719E+11,D, E001,"Energy XXI GOM, LLC",4/7/89,12000
